model,source,particle,energy,primaries,seed,cpuParam,workflowID,status
AF,61,gamma,0.2,100000000,2614427,2,workflow-mBt3pB,1
AF,71,gamma,0.2,100000000,2714427,2,workflow-x5QU2L,1
AF,73,gamma,0.2,100000000,2734427,2,workflow-Xr3qT0,0
AF,88,gamma,0.2,100000000,2884427,2,workflow-xOFzpC,0
AF,95,gamma,0.2,100000000,2954427,2,workflow-u3wUwo,0
AF,61,gamma,0.75,100000000,2616014,2,workflow-5iBNgE,0
AF,71,gamma,0.75,100000000,2716014,2,workflow-EPrOSZ,0
AF,73,gamma,0.75,100000000,2736014,2,workflow-xBelYl,0
AF,88,gamma,0.75,100000000,2886014,2,workflow-NYCZsx,0
AF,95,gamma,0.75,100000000,2956014,2,workflow-KHbusx,0
AF,61,gamma,0.065,100000000,2613079,2,workflow-2gv2S7,0
AF,71,gamma,0.065,100000000,2713079,2,workflow-F1mB9y,0
AF,73,gamma,0.065,100000000,2733079,2,workflow-WRxGjV,0
AF,88,gamma,0.065,100000000,2883079,2,workflow-K3lDz6,0
AF,95,gamma,0.065,100000000,2953079,2,workflow-OUSMOw,0
AF,61,gamma,0.07,100000000,2613168,2,workflow-dAidPK,0
AF,71,gamma,0.07,100000000,2713168,2,workflow-jp9JTm,0
AF,73,gamma,0.07,100000000,2733168,2,workflow-ZrLndL,0
AF,88,gamma,0.07,100000000,2883168,2,workflow-DoCZ8L,0
AF,95,gamma,0.07,100000000,2953168,2,workflow-30M1pN,0
AF,61,gamma,0.075,100000000,2613250,2,workflow-EHCjTI,0
AF,61,gamma,0.08,100000000,2613328,2,workflow-Fm81nW,0
AF,71,gamma,0.075,100000000,2713250,2,workflow-xDTbKz,0
AF,71,gamma,0.08,100000000,2713328,2,workflow-khm81M,0
AF,73,gamma,0.075,100000000,2733250,2,workflow-7F4itm,0
AF,73,gamma,0.08,100000000,2733328,2,workflow-CHSRRg,0
AF,88,gamma,0.075,100000000,2883250,2,workflow-hirJrY,0
AF,88,gamma,0.08,100000000,2883328,2,workflow-9D4OjW,0
AF,95,gamma,0.075,100000000,2953250,2,workflow-lXEvrk,0
AF,95,gamma,0.08,100000000,2953328,2,workflow-nXCAWr,0
AF,61,gamma,0.085,100000000,2613401,2,workflow-WH46Je,0
AF,71,gamma,0.085,100000000,2713401,2,workflow-iIIcz1,0
AF,73,gamma,0.085,100000000,2733401,2,workflow-pSIkNe,0
AF,88,gamma,0.085,100000000,2883401,2,workflow-DMAHnF,0
AF,95,gamma,0.085,100000000,2953401,2,workflow-oeawTd,0
AF,61,gamma,0.7,100000000,2615931,2,workflow-uzdXVA,0
AF,71,gamma,0.7,100000000,2715931,2,workflow-azvrMj,0
AF,73,gamma,0.7,100000000,2735931,2,workflow-8lA19E,0
AF,88,gamma,0.7,100000000,2885931,2,workflow-HaLeOe,0
AF,95,gamma,0.7,100000000,2955931,2,workflow-n8lr47,0
AF,61,gamma,0.65,100000000,2615842,2,workflow-denEBX,0
AF,71,gamma,0.65,100000000,2715842,2,workflow-BsIK3o,0
AF,73,gamma,0.65,100000000,2735842,2,workflow-C2RhKJ,0
AF,88,gamma,0.65,100000000,2885842,2,workflow-aYb7d1,0
AF,95,gamma,0.65,100000000,2955842,2,workflow-EnkKuK,0
AF,61,gamma,0.6,100000000,2615746,2,workflow-768drS,0
AF,71,gamma,0.6,100000000,2715746,2,workflow-BWHuUQ,0
AF,73,gamma,0.6,100000000,2735746,2,workflow-8dcGu4,0
AF,88,gamma,0.6,100000000,2885746,2,workflow-8P8x4U,0
AF,95,gamma,0.6,100000000,2955746,2,workflow-iG4d6r,0
AF,61,gamma,0.09,100000000,2613469,2,workflow-eBUIhr,0
AF,61,gamma,0.1,100000000,2613596,2,workflow-RmUWFH,0
AF,71,gamma,0.09,100000000,2713469,2,workflow-lLeb26,0
AF,71,gamma,0.1,100000000,2713596,2,workflow-jHzRRA,0
AF,73,gamma,0.09,100000000,2733469,2,workflow-WbTCEV,0
AF,73,gamma,0.1,100000000,2733596,2,workflow-82GNGZ,0
AF,88,gamma,0.09,100000000,2883469,2,workflow-BnkPF7,0
AF,88,gamma,0.1,100000000,2883596,2,workflow-0IFeik,0
AF,95,gamma,0.09,100000000,2953469,2,workflow-uursdx,0
AF,95,gamma,0.1,100000000,2953596,2,workflow-cr6tGU,0
AF,61,gamma,0.11,100000000,2613710,2,workflow-6EojsQ,0
AF,61,gamma,0.12,100000000,2613814,2,workflow-BxQOT9,0
AF,71,gamma,0.11,100000000,2713710,2,workflow-hlRxKp,0
AF,71,gamma,0.12,100000000,2713814,2,workflow-AH2ykp,0
AF,73,gamma,0.11,100000000,2733710,2,workflow-fTt6YZ,0
AF,73,gamma,0.12,100000000,2733814,2,workflow-YLl14b,0
AF,88,gamma,0.11,100000000,2883710,2,workflow-QFQcJx,0
AF,88,gamma,0.12,100000000,2883814,2,workflow-l4aQhw,0
AF,95,gamma,0.11,100000000,2953710,2,workflow-9bp043,0
AF,95,gamma,0.12,100000000,2953814,2,workflow-1mN1kM,0
AF,61,gamma,0.13,100000000,2613911,2,workflow-S8qzdh,0
AF,71,gamma,0.13,100000000,2713911,2,workflow-R6xZ7b,0
AF,73,gamma,0.13,100000000,2733911,2,workflow-Ma4k80,0
AF,88,gamma,0.13,100000000,2883911,2,workflow-GdJVE6,0
AF,95,gamma,0.13,100000000,2953911,2,workflow-sXzk4k,0
AF,61,gamma,0.55,100000000,2615641,2,workflow-CQj3sE,0
AF,71,gamma,0.55,100000000,2715641,2,workflow-3Trs4S,0
AF,73,gamma,0.55,100000000,2735641,2,workflow-BN3G6i,0
AF,88,gamma,0.55,100000000,2885641,2,workflow-3EvOtO,0
AF,95,gamma,0.55,100000000,2955641,2,workflow-pgwhKt,0
AF,61,gamma,0.5,100000000,2615527,2,workflow-Qzdm7I,0
AF,71,gamma,0.5,100000000,2715527,2,workflow-3X3ycQ,0
AF,73,gamma,0.5,100000000,2735527,2,workflow-uuxG3W,0
AF,88,gamma,0.5,100000000,2885527,2,workflow-v6boHd,0
AF,95,gamma,0.5,100000000,2955527,2,workflow-LDtIbK,0
AF,61,gamma,0.45,100000000,2615401,2,workflow-MVlPSq,0
AF,71,gamma,0.45,100000000,2715401,2,workflow-orhLyq,0
AF,73,gamma,0.45,100000000,2735401,2,workflow-hdvkuP,0
AF,88,gamma,0.45,100000000,2885401,2,workflow-Ur04tU,0
AF,95,gamma,0.45,100000000,2955401,2,workflow-owtLIC,0
AF,61,gamma,0.14,100000000,2613999,2,workflow-MzO64A,0
AF,61,gamma,0.15,100000000,2614082,2,workflow-iPYrUW,0
AF,71,gamma,0.14,100000000,2713999,2,workflow-NYZy3j,0
AF,71,gamma,0.15,100000000,2714082,2,workflow-P5phJI,0
AF,73,gamma,0.14,100000000,2733999,2,workflow-AxpX8M,0
AF,73,gamma,0.15,100000000,2734082,2,workflow-luKl8V,0
AF,88,gamma,0.14,100000000,2883999,2,workflow-TynWzZ,0
AF,88,gamma,0.15,100000000,2884082,2,workflow-JEVnLY,0
AF,95,gamma,0.14,100000000,2953999,2,workflow-F7AIuP,0
AF,95,gamma,0.15,100000000,2954082,2,workflow-01uR7X,0
